timestamp,speed_mph,speed_kmh,delta_v_kmh,incident_description,sensor_id
2017-01-01 00:00:00,70.63,113.67,0.0,Free flow traffic at node 4016162.,4016162
2017-01-01 00:05:00,71.78,115.52,1.85,Free flow traffic at node 4016162.,4016162
2017-01-01 00:10:00,64.45,103.72,11.8,Free flow traffic at node 4016162.,4016162
2017-01-01 00:15:00,68.86,110.81,7.09,Free flow traffic at node 4016162.,4016162
2017-01-01 00:20:00,73.91,118.95,8.14,Free flow traffic at node 4016162.,4016162
2017-01-01 00:25:00,76.64,123.34,4.38,Free flow traffic at node 4016162.,4016162
2017-01-01 00:30:00,59.38,95.56,27.78,Free flow traffic at node 4016162.,4016162
2017-01-01 00:35:00,67.67,108.91,13.35,Free flow traffic at node 4016162.,4016162
2017-01-01 00:40:00,66.31,106.72,2.19,Free flow traffic at node 4016162.,4016162
2017-01-01 00:45:00,67.11,108.0,1.28,Free flow traffic at node 4016162.,4016162
2017-01-01 00:50:00,75.5,121.51,13.51,Free flow traffic at node 4016162.,4016162
2017-01-01 00:55:00,67.4,108.46,13.05,Free flow traffic at node 4016162.,4016162
2017-01-01 01:00:00,61.05,98.25,10.21,Free flow traffic at node 4016162.,4016162
2017-01-01 01:05:00,72.58,116.8,18.55,Free flow traffic at node 4016162.,4016162
2017-01-01 01:10:00,71.22,114.61,2.19,Free flow traffic at node 4016162.,4016162
2017-01-01 01:15:00,71.22,114.61,0.0,Free flow traffic at node 4016162.,4016162
2017-01-01 01:20:00,65.5,105.41,9.2,Free flow traffic at node 4016162.,4016162
2017-01-01 01:25:00,70.75,113.86,8.45,Free flow traffic at node 4016162.,4016162
2017-01-01 01:30:00,69.26,111.47,2.39,Free flow traffic at node 4016162.,4016162
2017-01-01 01:35:00,64.03,103.05,8.42,Free flow traffic at node 4016162.,4016162
2017-01-01 01:40:00,68.0,109.43,6.39,Free flow traffic at node 4016162.,4016162
2017-01-01 01:45:00,66.71,107.36,2.08,Free flow traffic at node 4016162.,4016162
2017-01-01 01:50:00,66.87,107.62,0.26,Free flow traffic at node 4016162.,4016162
2017-01-01 01:55:00,69.03,111.09,3.47,Free flow traffic at node 4016162.,4016162
